ne.gage,64.72,,oh.clermont,90.95946,,wi.barron,29.17778
fl.holmes,64.65,,mn.meeker,90.942856,,wi.rusk,29.04
ne.sarpy,64.52885,,mn.carver,90.642204,,wi.iowa,29.039997
ok.le flore,64.48837,,ne.sarpy,90.29327,,ks.lyon,28.983051
la.pointe coupee,64.16,,mi.oceana,90.208336,,ky.nelson,28.899998
nv.douglas,64.04348,,sd.turner,90.166664,,ia.calhoun,28.800003
wi.marinette,63.945454,,ia.jackson,89.96,,ne.gage,28.64
ia.jackson,63.8,,mn.steele,89.790695,,ks.marshall,28.560001
mt.carbon,63.8,,mo.washington,89.48,,nm.taos,28.517239
wi.trempealeau,63.76744,,ok.texas,89.393936,,nd.morton,28.390244
ia.washington,63.64,,ky.nelson,89.325,,mi.charlevoix,28.279999
in.boone,63.48077,,id.minidoka,89.32,,ne.washington,28.240002
mo.washington,63.48,,il.piatt,89.125,,il.pike,28.047619
il.livingston,62.761906,,wa.franklin,88.971695,,mi.tuscola,28.02
sc.dorchester,62.64423,,la.st. martin,88.93023,,ia.chickasaw,28
in.whitley,62.466667,,wi.iowa,88.6,,il.massac,27.88
la.ascension,62.38095,,il.macoupin,88.52,,tx.reeves,27.6
in.adams,62.2,,in.sullivan,88.24,,ky.grant,27.599998
ms.jasper,62.125,,mn.morrison,88.20408,,in.putnam,27.520004
wi.green lake,61.84,,wi.langlade,88.08,,nc.alexander,27.400002
in.clay,61.84,,ut.summit,87.89189,,co.prowers,27.359997
ms.leake,61.68,,nd.stark,87.86,,il.henry,27.162792
il.hancock,61.5,,mt.powell,87.625,,md.garrett,27.036364
in.scott,61.32,,tn.scott,87.6,,mn.anoka,26.897438
ia.delaware,61.04,,mi.barry,87.55102,,ia.floyd,26.879997
fl.bradford,60.84,,mi.kalkaska,86.625,,mn.aitkin,26.759998
ms.marshall,60.575,,mt.ravalli,86.297295,,tx.bastrop,26.75
ga.haralson,60.56,,il.tazewell,86.2,,ne.platte,26.529411
ky.nelson,60.425,,ok.canadian,85.666664,,in.greene,26.2
oh.morrow,60.227272,,nd.walsh,85.32143,,ia.jackson,26.16
mi.oceana,60,,ne.washington,84.8,,ut.sanpete,26.093021
tx.grimes,59.76,,in.greene,84.44,,mo.washington,26.000004
wi.walworth,59.671642,,mi.ottawa,83.48553,,ia.bremer,25.880001
ok.rogers,59.65432,,wi.walworth,83.231346,,mo.perry,25.879997
wi.iowa,59.56,,mn.nobles,83.208336,,in.blackford,25.866669
oh.pickaway,59.52439,,mn.redwood,83.08,,ne.sarpy,25.76442
mn.chisago,59.491802,,ia.crawford,82.72,,mi.van buren,25.714287
mt.phillips,59.333332,,va.shenandoah,82.6,,id.jerome,25.64
ms.tippah,59.28,,il.pike,82.47619,,oh.hocking,25.633335
sd.clay,59.24,,in.huntington,82.361115,,mi.livingston,25.429379
fl.gulf,59.210526,,nd.williams,82.3,,la.west carroll,25.285713
wi.crawford,59.2,,ut.iron,82.229164,,mi.lenawee,25.221237
tx.chambers,59.179485,,tx.scurry,81.96,,mo.pike,25.2
id.gooding,59.055557,,ia.hamilton,81.92,,co.weld,25.14214
il.clay,58.666668,,tx.medina,81.88,,wi.clark,25.081635
mn.roseau,58.56,,tn.trousdale,81.6,,ok.mcclain,25.025642
ms.tallahatchie,58.555557,,id.madison,81.565216,,wv.pocahontas,24.96
tn.williamson,58.52889,,mn.sibley,81.45,,mi.hillsdale,24.861538
id.canyon,58.5,,ia.chickasaw,80.5,,ut.sevier,24.689655
tx.dawson,58.31818,,mn.cottonwood,80.46154,,co.summit,24.35294
in.greene,58.24,,ms.yazoo,80.28,,wi.juneau,24.224998
ca.merced,58.17073,,wi.marinette,80.181816,,ia.union,24.2
ca.riverside,57.90583,,mn.wabasha,80.04,,fl.desoto,24.163261
id.blaine,57.84,,al.randolph,79.933334,,ok.marshall,24.119999
wi.vilas,57.6,,la.ascension,79.64762,,wi.st. croix,24.009998
ok.osage,57.25,,wi.vilas,79.64,,ok.mcintosh,23.700005
ms.holmes,57.2,,tx.moore,79.56,,nv.lyon,23.682539
oh.clermont,57.18919,,wi.clark,79.4898,,wi.walworth,23.559704
ky.knox,56.8,,nm.cibola,79.28,,sd.meade,23.519997
ga.gordon,56.753624,,ks.lyon,79.27119,,il.warren,23.43478
wi.portage,56.648937,,mt.phillips,78.833336,,oh.wyandot,23.387096
ne.washington,56.56,,pa.bedford,78.81633,,al.st. clair,23.225006
sd.custer,56.363636,,il.warren,78.78261,,tx.coryell,23.080002
tn.hickman,56,,ca.imperial,78.72388,,in.jay,23.057144
mo.jefferson,55.820717,,ia.delaware,78.64,,in.washington,23.04
oh.hardin,55.6,,fl.hardee,78.44,,tn.unicoi,23
md.charles,55.573032,,ok.rogers,77.888885,,ok.noble,22.961536
il.warren,55.347828,,la.pointe coupee,77.88,,co.delta,22.91837
in.hancock,55.32353,,sd.clay,77.88,,wy.campbell,22.900002
mi.gratiot,55.25373,,mo.jefferson,77.51793,,ia.mitchell,22.8
il.piatt,55.125,,wi.juneau,77.325,,ne.hamilton,22.78571
md.prince george's,55.088516,,fl.nassau,77.22222,,il.grundy,22.707863
il.tazewell,55.066666,,id.canyon,76.91391,,wi.lincoln,22.627907
tn.scott,55.04,,ga.barrow,76.89286,,co.la plata,22.606382
ne.colfax,54.88,,co.summit,76.588234,,id.cassia,22.559998
tn.loudon,54.62,,fl.desoto,76.5102,,ga.murray,22.500004
nd.walsh,54.57143,,ms.marshall,76.475,,nv.white pine,22.5
mn.morrison,54.469387,,tn.unicoi,76.4,,mn.renville,22.487806
il.pike,54.42857,,wi.st. croix,76.38,,wi.door,22.480003
wi.clark,54.408165,,wi.green lake,76.32,,mi.arenac,22.480001
sd.brookings,54.265305,,nd.barnes,76.04,,wi.waushara,22.479996
il.clinton,54.228573,,nc.anson,75.8,,in.fulton,22.439999
ok.caddo,54.07143,,sc.williamsburg,75.68,,oh.pike,22.400002
ms.attala,53.88,,nm.guadalupe,75.6,,il.mchenry,22.361515
