County,current,Predicted,change
ks.riley,38.311928,50.57798,-12.266052
ks.atchison,40.48,50.76,-10.279999
ks.grant,32.5,39.923077,-7.4230766
ks.cheyenne,14.3125,17,-2.6875
ks.thomas,9.295455,12.409091,-3.113636
ks.clay,19.4,34.6,-15.199999
ks.cloud,29.84,50.68,-20.84
ks.montgomery,10.953125,13.3671875,-2.4140625
ks.comanche,8.75,19.5,-10.75
ks.marshall,28.96,57.52,-28.560001
ks.decatur,3.5409837,4.7213116,-1.1803279
ks.edwards,9.318182,14.409091,-5.090909
ks.ellsworth,36.64,49.88,-13.240002
ks.crawford,18.876713,24,-5.123287
ks.graham,7.36,12.32,-4.9599996
ks.greeley,1.78,2.54,-0.76
ks.ellis,16.151163,20.55814,-4.4069767
ks.dickinson,6.518248,8.6861315,-2.1678834
ks.jewell,5.96,13.72,-7.76
ks.lane,6.529412,10.882353,-4.352941
ks.pawnee,1.3072101,1.7194357,-0.4122256
ks.lincoln,10.285714,24.071428,-13.785714
ks.meade,17.05,23.25,-6.200001
ks.clark,1.6565657,2.6161616,-0.9595959
ks.morris,11.96,19.8,-7.839999
ks.phillips,20.28,28.68,-8.4
ks.pratt,6.8705883,10.917647,-4.047059
ks.rawlins,11.166667,13,-1.833333
ks.republic,7.3174605,14.238095,-6.9206347
ks.rooks,20.1,29.65,-9.549999
ks.rush,8.277778,13.361111,-5.083333
ks.russell,14.152174,22.695652,-8.543478
ks.leavenworth,12.781437,15.221557,-2.4401197
ks.saline,15.228972,22.733644,-7.504672
ks.haskell,23.76923,27.307692,-3.5384617
ks.chautauqua,4.6,8.44,-3.8399997
ks.seward,32.20792,38.59406,-6.386139
ks.ford,49.131313,57.050507,-7.9191933
ks.wichita,4.5675673,7.5945945,-3.0270271
mt.beaverhead,25.36,34.6,-9.239998
mt.carbon,63.8,95.1,-31.3
mt.chouteau,3.7439024,5.731707,-1.9878047
mt.fergus,8.555555,13.355556,-4.8
mt.sanders,7.159091,11.045455,-3.886364
mt.missoula,13.477723,18.594059,-5.116336
mt.carter,4.064516,5.548387,-1.483871
mt.daniels,2.4629629,4.0740743,-1.6111114
mt.powell,46.75,87.625,-40.875
mt.fallon,6.5,11.125,-4.625
mt.garfield,2.75,4.4583335,-1.7083335
mt.dawson,8.21875,12.354167,-4.135417
mt.granite,16.11111,22,-5.8888893
mt.liberty,3.96,6.92,-2.96
mt.park,14.94,23.26,-8.320001
mt.toole,25.96,32.8,-6.84
mt.mccone,4.96,6.04,-1.0799999
mt.mineral,3.92,8.8,-4.88
mt.meagher,4.4,5.76,-1.3600001
mt.roosevelt,19.447762,25.074627,-5.6268654
mt.phillips,59.333332,78.833336,-19.500004
mt.sweet grass,5.74,9.36,-3.62
mt.pondera,4.455696,5.506329,-1.050633
mt.prairie,5.409091,8.863636,-3.454545
mt.rosebud,17.363636,19.036364,-1.6727276
mt.sheridan,3.3505154,5.4639177,-2.1134024
mt.richland,6.1864405,8.271187,-2.0847464
mt.lake,9.614173,12.960629,-3.3464565
mt.stillwater,20.782608,28.608696,-7.826088
mt.wheatland,4.56,5.48,-0.9200001
ms.marshall,60.575,76.475,-15.899998
ms.prentiss,14.824561,17.122807,-2.2982454
ms.calhoun,35.36,39.32,-3.959999
ms.desoto,22.379377,26.955254,-4.575876
ms.lowndes,9.530159,10.888889,-1.3587303
ms.union,13.346405,15.96732,-2.6209154
ms.pike,9.238579,9.974619,-0.7360401
ms.bolivar,16.521212,18.042425,-1.5212135
ms.lafayette,14.970834,17.183332,-2.2124987
ms.claiborne,18.84375,19.875,-1.03125
ms.george,30.229166,33.458332,-3.229166
ms.holmes,57.2,68.44,-11.240002
ms.jefferson davis,18.085714,21.714285,-3.6285706
ms.kemper,22.96,32.96,-10
ms.montgomery,19.522728,23.34091,-3.818182
ms.lincoln,21.666666,25.565657,-3.8989906
ms.simpson,16.595959,18.232323,-1.636364
ms.adams,5.5607142,6.553571,-0.992857
ks.harper,5.4242425,8.651515,-3.2272725
ms.lee,8.58,10.14,-1.5600004
ms.tate,26.197369,32.44737,-6.25
ms.coahoma,9.331491,10.464088,-1.132597
ms.noxubee,31.44,36,-4.5599995
ms.jackson,12.602452,14.535902,-1.9334497
ms.oktibbeha,28.645834,32.083332,-3.437498
ms.hancock,14.166667,16.617647,-2.4509802
ms.humphreys,17.558823,19.67647,-2.1176472
ms.smith,28.51724,31.448277,-2.931036
ms.perry,33.045456,37.772728,-4.727272
ms.pontotoc,96.68,112.84,-16.159996
ms.quitman,16.151516,17.424242,-1.272726
ms.scott,29.566668,35.983334,-6.416666
ms.sharkey,11.862069,12.965517,-1.1034479
ms.jones,14.6,16.042105,-1.4421043
ms.tallahatchie,58.555557,61.055557,-2.5
ms.grenada,10.173077,10.608974,-0.43589783
ms.walthall,34,39.32,-5.3199997
ms.wayne,17.175,18.625,-1.4500008
ms.yalobusha,31.23077,35.807693,-4.5769234
ar.van buren,20.28,31.4,-11.119999
ar.jackson,17.586466,24.43609,-6.8496246
ar.crawford,34.427185,39.669903,-5.2427177
co.routt,8.397959,15.571428,-7.1734695
co.garfield,23.210085,35.890755,-12.68067
ks.greenwood,13.24,19.08,-5.84
ks.douglas,35.93421,46.42105,-10.486839
me.waldo,11.04,13.76,-2.7200003
ms.clay,17.383333,20.033333,-2.6499996
ms.panola,23.160715,27.919643,-4.7589283
mt.teton,6.65,9.45,-2.7999997
mt.musselshell,9.8,13.6,-3.8000002
mt.ravalli,49.162163,86.297295,-37.13513
mt.custer,9.422222,14.211111,-4.788889
co.pitkin,25.44,37.6,-12.159998
co.jefferson,30.819653,48.4801,-17.660446
co.fremont,142.8,256.04,-113.240005
co.morgan,26.782608,41.15942,-14.376812
sd.davison,37.880596,56.313435,-18.432838
wa.franklin,71.09434,88.971695,-17.877357
co.gunnison,21.583334,30.375,-8.791666
co.cheyenne,7.4545455,16.90909,-9.454544
co.montrose,21.304348,42.347828,-21.04348
co.prowers,33.24,60.6,-27.359997
co.rio grande,16.588236,26.058823,-9.470587
co.conejos,13.823529,21.117647,-7.294118
co.sedgwick,1.8125,2.921875,-1.109375
co.baca,1.835443,4.113924,-2.278481
co.montezuma,36.52,69.64,-33.12
co.huerfano,11.25,23.25,-12
co.broomfield,25.804348,38.02174,-12.217392
co.summit,52.235294,76.588234,-24.35294
co.logan,107.6,148.28,-40.68
co.teller,52.266666,91.53333,-39.266666
co.eagle,47.448277,67.13793,-19.689655
